,Obsid,Heh,logg,teff,lamo,Ra,dec,sn
0,4509015,-2.858857632,5.679949284,37746.30078,LAMOST J022049.05+584509.0,35.2044,58.7525,16.44
1,32510100,-1.74120903,5.811975479,26663.74219,LAMOST J101722.05+452055.1,154.341906,45.348666,11.75
2,52806006,-2.267579079,5.46385479,34165.83984,LAMOST J194458.54+392222.1,296.243917,39.372806,10.17
3,58309212,-3.242325544,5.378180027,27922.32617,LAMOST J032251.46+034652.5,50.714452,3.781258,9.54
4,83904022,-2.865744114,5.811511993,30609.48438,LAMOST J020401.88+414748.8,31.007836,41.796898,26.96
5,99207013,-3.203997135,5.3936553,30635.23242,LAMOST J075702.65+261451.1,119.26105,26.247545,29.49
6,101115103,-2.774373531,6.11228466,25457.60352,LAMOST J062826.93+033720.8,97.112216,3.622458,20.94
7,142703046,-1.96043539,5.645526886,30294.01563,LAMOST J133014.18+134633.5,202.559117,13.775989,5.96
8,162404188,-3.002485752,5.484487057,40484.45313,LAMOST J030939.41+214533.5,47.414249,21.759315,40.19
9,171707230,-3.330596447,5.684258461,27529.22656,LAMOST J055940.69+201931.8,89.919564,20.325525,11.04
10,181914206,-1.417613745,5.3764081,27779.75391,LAMOST J034110.28+352832.9,55.292868,35.475821,13.08
11,195107200,-3.323188066,5.37669611,29280.04492,LAMOST J054842.40+211751.0,87.176683,21.297523,11.3
12,206312160,-2.836685658,5.621074677,32043.9707,LAMOST J025731.08+524558.9,44.379517,52.766386,16.67
13,206510048,-3.278480053,5.522655487,37546.875,LAMOST J123028.50+032654.8,187.618782,3.448578,11.7
15,208816099,-2.709232092,5.777042389,31168.9082,LAMOST J052142.56+082530.7,80.427374,8.425216,14.88
16,212705156,-3.13596344,5.889917374,31664.66797,LAMOST J104944.45+270143.2,162.435231,27.028673,11.69
17,212803144,-4.946084976,5.492877483,27613.9707,LAMOST J132709.00-005401.9,201.787517,-0.900548,10.39
18,228202103,-3.047781944,5.650712013,26115.99414,LAMOST J113602.07+191618.7,174.008657,19.271864,18.27
14,244016127,-2.808815956,5.462549686,26068.96094,LAMOST J025416.07+571414.2,43.566986,57.237281,28.78
19,259905095,-1.310373545,5.680440903,42707.43359,LAMOST J213441.07+133524.5,323.671163,13.590147,15.04
20,259908222,-3.07292366,5.214064598,27442.80273,LAMOST J213928.57+134559.9,324.869062,13.766639,8.28
21,269305132,-1.84,5.597247601,31380.875,LAMOST J054423.57+321905.2,86.098231,32.318131,5.11
22,269511194,-2.711711407,5.557129383,28106.37695,LAMOST J000324.47+584628.0,0.851989,58.774456,35.49
23,269512168,-3.284068108,5.580154419,29402.63867,LAMOST J001708.17+580702.1,4.284975,58.117315,61.91
24,274311060,-1.558278322,5.849007607,53150.71875,LAMOST J063021.44+220656.0,97.589356,22.115558,5.91
25,280705107,-1.898324013,5.561664581,32995.89063,LAMOST J093213.30+121142.3,143.055448,12.195084,18.96
26,282006094,-3.064042807,5.452436447,35639.38672,LAMOST J012632.94+312538.1,21.637257,31.427251,5.31
27,282604062,-1.743146181,5.708958626,25572.93359,LAMOST J001920.59+463306.8,4.835808,46.551897,68.78
28,309816048,-2.984821081,5.448440075,29572.51172,LAMOST J043546.54+354014.1,68.942704,35.670592,211.64
29,320411052,-2.998453379,5.613509178,34125.41016,LAMOST J144445.88+281016.5,221.191169,28.171261,5.79
30,331909001,-0.25901103,5.589974403,26458.10938,LAMOST J104039.66+135949.1,160.165267,13.996983,15.57
31,336711173,-2.829485178,5.42140913,32013.18359,LAMOST J125827.89+401144.0,194.616237,40.195564,12.54
32,351002036,-1.940238237,5.573884964,32995.03516,LAMOST J185724.28+472702.2,284.351177,47.450632,20.23
33,368509218,-2.786448479,5.367067814,32507.89258,LAMOST J011951.71+030438.4,19.965473,3.077354,5.49
34,379603081,-1.863811016,5.491029739,34007.19531,LAMOST J021511.09+230717.6,33.796241,23.12158,6.14
35,380405022,-3.250614405,5.554320335,34125.60938,LAMOST J225846.48+082549.0,344.69368,8.430286,16.96
36,380515137,-3.015081406,5.506627083,24649.8457,LAMOST J053827.66+364808.9,84.615278,36.802478,6.92
37,380812078,-3.207201004,5.646653175,48746.13672,LAMOST J021114.76+560732.6,32.811541,56.125749,52.86
38,393110154,-2.995733023,5.532925606,32317.25,LAMOST J031943.94+484512.7,49.933123,48.753553,11.66
39,396305033,-3.521104813,5.563164711,40901.07813,LAMOST J070200.97+075308.8,105.503623,7.885703,30.04
40,400804210,-1.658703089,5.307870388,30386.8457,LAMOST J061724.73+125126.0,94.353065,12.857232,6.37
41,431613050,-3.405468941,5.615168571,34561.375,LAMOST J063707.46+204532.6,99.281101,20.759071,9.51
42,432001188,-2.960744858,5.54883337,40468.96484,LAMOST J094053.23+082453.8,145.221825,8.414965,34.37
43,433603200,-1.73729229,5.608131886,41288.38672,LAMOST J125815.99+104114.1,194.566666,10.687275,11.07
44,433815103,-1.27494669,5.71542263,31005.25586,LAMOST J152814.38+524427.4,232.058309,52.740969,24.73
45,437316197,-2.927814245,5.650945663,38475.60547,LAMOST J060950.17+203703.6,92.4589,20.61813,116.32
46,441716051,-1.702957153,5.84625721,30452.59961,LAMOST J073253.21+154324.4,113.22172,15.723451,12.07
47,448004173,-2.454254627,5.60522747,36038.52734,LAMOST J174549.02+150718.1,266.45426,15.121716,20.73
48,449908033,-2.931705475,5.279999733,33185.85156,LAMOST J170824.86+031512.8,257.103624,3.253559,38.55
49,450409225,-3.275557518,5.955519199,37799.16016,LAMOST J175650.66+063746.3,269.211124,6.62955,28.67
50,453513207,-2.8834095,5.936591148,32541.33984,LAMOST J104521.89+364504.8,161.341244,36.751342,8.5
51,457908156,-0.81199193,5.565222263,34794.00781,LAMOST J145831.43+354900.5,224.630998,35.816832,15.54
52,461304061,-3.04441905,5.536883354,30901.76367,LAMOST J193701.26+281403.1,294.255267,28.234204,7.97
53,468913215,-2.696578264,5.57745266,30653.52734,LAMOST J015433.16+560100.9,28.63817,56.016928,7.77
54,469008095,-2.636904716,5.699321747,28002.30664,LAMOST J194246.49+282508.9,295.693718,28.419162,16.97
55,469204085,-1.42620039,5.45379734,37298.86719,LAMOST J232114.18+480058.5,350.309118,48.016255,8.7
56,469615236,-2.376375675,5.475348949,36737.60156,LAMOST J212538.02+090353.0,321.408458,9.06474,27.37
57,486810180,-1.960939527,5.677998543,31840.0918,LAMOST J060334.98+221938.6,90.89575,22.327389,293.82
58,487204031,-2.257687092,5.773652077,30863.61719,LAMOST J101537.71+022341.2,153.907135,2.394787,8.32
59,505402140,1.395105839,5.438411713,35315.16406,LAMOST J092733.29+265015.8,141.888725,26.837733,7.37
60,507904046,-3.328001976,5.659464836,30211.21875,LAMOST J103732.08+323125.7,159.383673,32.523829,7.11
61,524013218,-2.633412838,5.657547474,26712.03711,LAMOST J032246.92+481009.5,50.695504,48.169316,28.28
62,525411220,-3.1290555,5.551916122,29944.97461,LAMOST J061219.19+253453.0,93.07997,25.5814,174.2
63,526004091,-3.004336357,5.50972414,36250.22266,LAMOST J133831.27+331040.9,204.630312,33.178048,6
64,529605065,-2.716066837,5.746022224,31077.53906,LAMOST J060844.47+223019.8,92.185333,22.505509,6.74
65,529606085,-2.029207706,5.892436028,32063.52539,LAMOST J061825.07+224300.5,94.604464,22.71681,75.35
66,529610029,-2.791584969,5.307458401,25400.33,LAMOST J060437.03+222132.0,91.154333,22.358898,71.41
67,529610157,-2.829766273,5.705007553,32325.31055,LAMOST J060535.26+222341.1,91.396946,22.394767,69.03
68,531107136,-2.5864048,5.897422791,30668.74219,LAMOST J061102.92+484148.0,92.762176,48.696683,6.17
69,545404103,-2.697212696,5.485124111,27499.99414,LAMOST J061340.67+225236.8,93.419491,22.876897,46.21
70,546101178,-2.691008091,5.66493845,29864.41602,LAMOST J104118.76+034156.5,160.328197,3.699046,5.66
71,547203046,-2.609657764,5.446306229,28072.84766,LAMOST J134836.15+281942.2,207.150636,28.32839,10.56
76,552312067,-3.205022335,5.651126862,32820.94922,LAMOST J114459.33+414510.0,176.247242,41.752781,18.31
77,552716148,-2.47473526,5.50997448,34707.98828,LAMOST J060805.57+251101.5,92.023242,25.18377,31.28
78,555115195,-2.941943169,5.348597527,30651.11719,LAMOST J061010.61+235010.9,92.544223,23.836371,33.59
81,563711197,0.542289734,5.67213726,33951.28516,LAMOST J152109.19+345720.4,230.288307,34.955679,13.56
82,566903091,-2.157540798,5.422787189,33202.49219,LAMOST J165248.85+385740.6,253.203549,38.961302,18.44
83,568004020,-3.205398321,5.590991974,36357.35547,LAMOST J172008.66+401017.0,260.036089,40.171403,20.64
84,569702234,-2.656762123,5.412512779,34105.71484,LAMOST J142442.94+414931.8,216.177176,41.825508,18.04
85,573408110,-3.457110405,5.385922909,39125.90625,LAMOST J153458.40+395236.8,233.74335,39.876916,11.05
72,582309095,-2.664946556,5.465893745,40904.67188,LAMOST J133232.03+274200.1,203.133462,27.700046,30.22
73,582410007,-2.674825191,5.800139427,24956.38281,LAMOST J152336.54+435106.0,230.902252,43.851686,7.2
74,582503204,-2.857088804,5.294754028,33323.59375,LAMOST J152921.93+443253.0,232.341379,44.548067,39.8
75,582705150,-3.556553125,5.416763783,32511.39648,LAMOST J114239.45+010752.5,175.664413,1.13127,8.34
79,582915160,-2.599862576,5.438536644,39497.38281,LAMOST J143949.24+275108.9,219.9552,27.852478,6.32
80,584204047,-2.171800137,5.566290855,28535.48828,LAMOST J164341.10+462509.5,250.921271,46.419307,13.46
86,588112214,-2.477084637,5.784293175,31318.71094,LAMOST J195242.01+494326.3,298.175061,49.723976,11.39
87,601708032,-3.179484844,5.214356422,38610.05469,LAMOST J084641.25+212819.5,131.671915,21.472095,12.22
88,613910100,-3.478751898,5.699256897,32754.67578,LAMOST J015523.78+173835.4,28.849089,17.643193,8.28
89,615312156,-3.245483398,5.454508781,30471.78906,LAMOST J061848.39+242518.5,94.701625,24.421817,7.45
90,620206231,-2.419548273,5.514210701,29655.1875,LAMOST J061756.53+223747.0,94.48555,22.629733,17.43
91,641208087,-3.096945763,5.529633045,40152.66406,LAMOST J061730.04+132207.0,94.375204,13.368614,10.13
92,641303189,-2.671993971,5.489370346,36500.75781,LAMOST J081722.64-010633.1,124.344334,-1.109222,5.65
93,642911062,-3.15606451,5.456445217,38282.47656,LAMOST J122128.66+580842.1,185.369444,58.14504,5.41
94,643709220,-3.146121025,5.378404617,32111.07422,LAMOST J055758.74+175300.3,89.494759,17.883426,27.44
95,643811090,-2.406536102,5.35633707,40673.73438,LAMOST J070916.03+341930.9,107.316795,34.325272,23.67
96,644402039,-2.180665016,5.582637787,29628.40625,LAMOST J112349.00+140236.2,170.954185,14.043392,14.34
97,644815154,-2.684343815,5.759218216,32224.26758,LAMOST J144546.39+234845.9,221.443321,23.812761,111.28
98,648614119,-2.623600006,5.543483257,29075.9082,LAMOST J060506.59+255908.2,91.277478,25.985634,8.74
99,648806235,-1.619639397,5.794052124,33904.66406,LAMOST J071125.96+353732.6,107.858187,35.625728,48.81
100,651112128,-2.995140314,5.63967371,31147.39453,LAMOST J150706.86+122358.7,226.778618,12.399644,16.92
101,656309148,-3.016751766,5.846567154,32963.81641,LAMOST J071807.63+142202.9,109.53283,14.367943,38.66
102,656705113,-2.844600201,5.366699696,37021.125,LAMOST J072556.75+034713.7,111.486484,3.787141,8.38
103,661714184,-3.007451296,5.434963226,28710.35156,LAMOST J133646.46+384345.8,204.193614,38.729413,6.32
104,664101054,-2.99985671,5.519116402,36208.88281,LAMOST J151024.44+171855.4,227.601842,17.315394,8.12
105,678704057,-2.0338521,5.854905605,32367.21484,LAMOST J234107.27+455625.0,355.28033,45.940289,6.79
106,680210016,-3.232507944,5.551286221,36013.46484,LAMOST J061600.66+083106.7,94.002782,8.518541,33.67
107,685808139,-2.083930969,5.342031479,41982.17969,LAMOST J030945.08+534453.7,47.437863,53.748261,5.77
108,686613162,-2.053975582,5.730166435,35197.87891,LAMOST J065734.81+243058.1,104.395083,24.516153,14.41
109,687904034,-3.161675453,5.363807678,38407.69141,LAMOST J034352.89+520355.5,55.970399,52.065439,11.59
110,696713019,-2.364113808,5.58425951,36208.03906,LAMOST J061956.86+234417.3,94.98682,23.73928,72.8
111,710212171,-1.330354929,5.285440445,30589.15625,LAMOST J025230.22+424318.1,43.124405,42.721198,32.79
112,731206238,-2.341281891,5.666283607,32494.07617,LAMOST J095915.36+140646.9,149.814003,14.113034,9.53
113,731607028,-3.45459342,5.219695091,47523.47656,LAMOST J063341.04+151817.1,98.421013,15.304764,54.28
114,732004010,-3.135515451,5.84458971,38229.88672,LAMOST J055733.77+275358.5,89.389896,27.900648,8.86
115,732005019,-3.018354416,5.76048851,30632.63477,LAMOST J055913.33+260927.2,89.805577,26.157566,76.87
116,732301158,-3.244230747,5.725152016,32268.76563,LAMOST J124244.78+441002.4,190.686593,44.167348,18.22
117,732803087,-2.943591118,5.664752007,32985.07031,LAMOST J161703.46+132607.3,244.264452,13.435385,15.16
118,733513066,-2.622625828,5.652585983,35748.78906,LAMOST J063718.17+203308.4,99.325724,20.552357,81.17
119,734211192,-3.400870085,5.61416626,30052.02734,LAMOST J093943.82+331647.4,144.932621,33.279844,20.27
120,734701157,0.670804977,5.515583992,36138.62109,LAMOST J132857.61+091800.7,202.240081,9.300205,13.49
121,740802003,-3.390211344,5.534089565,35931.90625,LAMOST J135320.02+191634.5,208.333424,19.276275,23.62
122,741002146,-2.15968442,5.862538338,29824.27734,LAMOST J175913.02+221125.8,269.803356,22.189514,46.55
123,742213240,-3.200397253,5.450592041,29816.59766,LAMOST J173127.57+173314.0,262.8649,17.553897,8.7
124,742214206,-2.300496101,5.705120564,33727.22656,LAMOST J171803.93+172909.0,259.516392,17.485834,5.32
125,742309080,-2.80170989,5.470799923,31568.57227,LAMOST J145313.62+141323.9,223.30675,14.223309,5.49
126,756315136,-2.975102901,5.68970108,26337.46289,LAMOST J225120.16+003417.1,342.83403,0.571429,6.94
127,756502054,-3.123012543,5.762568951,30011.73633,LAMOST J225325.15-061251.8,343.354831,-6.214416,12.09
128,756902176,-2.126805067,5.967692375,40173.26953,LAMOST J075532.56-023559.2,118.885701,-2.599788,70.71
129,756907027,-2.909970522,5.289669514,30285.83594,LAMOST J080402.38-025951.6,121.009922,-2.997687,17.65
130,757605055,-1.332475424,5.607772827,30027.5332,LAMOST J000130.00+474824.0,0.375018,47.806688,5.44
131,758406185,-2.350434065,5.629183769,32985.17188,LAMOST J062249.53+283936.4,95.706386,28.660128,25.85
132,759003217,-2.509227753,6.220349503,37899.77344,LAMOST J223802.66+222414.0,339.511093,22.403911,7.48
133,759714026,-3.248654604,5.347878933,28084.9707,LAMOST J063303.52+233201.6,98.264691,23.533795,178.89
134,760604235,-3.061671495,5.712694168,32459.87695,LAMOST J000828.34+250225.4,2.118103,25.040389,11.18
135,760704137,-3.053932667,5.570977688,33165.33203,LAMOST J034853.20+233754.0,57.221682,23.63167,23.79
136,767502069,-0.709826231,5.891195297,36362.89063,LAMOST J215101.29+304346.9,327.7554,30.729705,27.28
141,769310099,-3.712921381,5.970442295,35474.75781,LAMOST J071112.19+062623.7,107.8008,6.439922,103.85
142,769315125,-2.518771648,5.682139397,31518.93945,LAMOST J072056.51+075858.9,110.23548,7.983049,18.54
143,769412157,-2.631042004,5.696089268,33917.88281,LAMOST J072615.98+081327.0,111.56659,8.224188,79.83
144,778606183,-2.926398277,5.972238541,35029.67969,LAMOST J072617.28-002822.8,111.572007,-0.473005,5.75
145,778813059,-2.615956306,5.772382736,35929.44141,LAMOST J043545.90+071444.4,68.941258,7.245667,101.43
146,779305058,-2.508087158,5.548658371,29137.61523,LAMOST J083308.79+232709.8,128.286644,23.452723,13.96
147,780411053,-3.124169111,5.737843513,41089.95703,LAMOST J090955.73+161803.6,137.482246,16.301008,26.64
148,780706164,-2.244761944,5.664021492,36172.77344,LAMOST J065307.49+222611.4,103.281232,22.436506,15.01
149,780715008,-3.167376995,5.492992401,31020.72461,LAMOST J064147.32+241219.0,100.447176,24.205303,27.47
137,781709045,-2.668475628,5.552070141,46442.17969,LAMOST J035431.71+244042.6,58.632159,24.678526,77.66
138,781809016,-2.656223774,5.435412407,33140.76172,LAMOST J064658.02+233226.6,101.741766,23.540746,13.34
139,781904176,-1.063999891,5.700735092,38925.14063,LAMOST J234353.40+211400.5,355.972531,21.233483,5.93
140,782103177,-2.919088364,5.510266304,30575.01758,LAMOST J052239.70+033229.7,80.665428,3.541593,10.47
150,782503116,-2.662790775,5.51799202,32299.20117,LAMOST J111608.16+410255.2,169.034029,41.048685,5.94
151,782701114,-1.844398499,5.60213995,38642.125,LAMOST J045809.76+283301.1,74.540698,28.550324,7.08
152,782704235,-3.249230623,5.741332054,29730.1875,LAMOST J045833.34+304147.0,74.639617,30.697633,123.31
153,782908027,-3.097184896,5.698204994,28376.10352,LAMOST J070337.88-000258.7,105.907871,-0.049658,31.96
154,782908212,-2.438000202,5.576676846,33923.57031,LAMOST J070225.22-011917.4,105.605119,-1.321505,38.47
155,782910081,-2.511779547,5.799318314,32190.51953,LAMOST J065120.48-003036.3,102.835353,-0.510109,7.43
156,782914247,-3.207242489,5.548883438,38090.05859,LAMOST J065118.69+002712.9,102.827888,0.453592,16.11
157,782915103,-2.826409578,5.276767254,29970.49219,LAMOST J070108.89+004620.3,105.287042,0.772318,6.88
158,792207163,-2.750422478,5.587450027,30872.46875,LAMOST J121853.27+150055.9,184.721971,15.01553,6.29
159,792510168,-2.521290779,5.547122002,35454.28125,LAMOST J034408.80+230447.6,56.036692,23.079907,13.45
160,792907116,-2.82998848,6.049429893,39187.61328,LAMOST J135100.68+292920.9,207.752836,29.48915,8.14
161,794306012,-1.099599361,5.688816071,28921.11719,LAMOST J120403.25+163142.8,181.013563,16.528572,8.29
162,794915063,-1.942519903,6.032063007,33086.14453,LAMOST J035634.24+555705.6,59.142701,55.951563,8.08
163,795015233,-2.855580807,5.51586771,29317.04688,LAMOST J081717.01-001224.0,124.320886,-0.206679,28.45
164,795709160,-3.092131615,5.478611946,37501.25391,LAMOST J064431.41+235437.5,101.130911,23.910424,9.3
165,795813076,-2.559287548,5.370790005,31935.04883,LAMOST J035409.62+383057.1,58.540086,38.515878,6.49
166,795914053,-2.958267927,5.629085541,27348.32813,LAMOST J061905.94+224344.4,94.774767,22.729003,29.97
167,795914198,-3.239633322,5.59723711,31418.05078,LAMOST J061700.36+223948.6,94.2515,22.663507,6.39
168,796208141,-2.813698769,5.537282944,28432.56641,LAMOST J045405.31+151114.1,73.522128,15.187256,14.47
169,805706107,-1.003970623,5.475342751,26923.85156,LAMOST J065205.21+345240.5,103.021723,34.877943,62.72
171,806005033,-0.840917587,5.233680725,39909.67969,LAMOST J070201.13+075309.2,105.503623,7.885703,9.17
172,806014108,-3.34820056,5.60241127,33980.61328,LAMOST J065513.97+094716.5,103.808211,9.787917,22.67
173,806306046,-2.877276421,5.989854813,31764.8457,LAMOST J060349.84+313221.4,90.957685,31.539279,16.6
170,807405138,-2.342610359,5.421098709,41174.92188,LAMOST J113004.60-041154.3,172.519192,-4.198444,13.59
174,811709193,-1.599873781,5.652070999,28429.9043,LAMOST J084116.32+243441.0,130.31803,24.578068,6.5
175,814914169,-3.193580866,5.48655653,36142.19922,LAMOST J093024.38+165542.2,142.601613,16.928397,12.05
